
════════════════════════════════════════════════════════════
  Server started at 2026-02-23 20:42:49
  PID will be updated below once the process is known
════════════════════════════════════════════════════════════
  PID: 93351
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Started server process [93351]
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Waiting for application startup.
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Application startup complete.
2026-02-23 20:42:50 | ERROR    | N/A                                  | uvicorn.error | [Errno 48] error while attempting to bind on address ('0.0.0.0', 8004): address already in use
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Waiting for application shutdown.
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Application shutdown complete.
Database initialized successfully with DDL from /Users/vipinkp/PycharmProjects/Liquidity_DataPipeline/docker/init_tables.sql
Database connection pool disposed

════════════════════════════════════════════════════════════
  Server started at 2026-02-23 20:43:57
  PID will be updated below once the process is known
════════════════════════════════════════════════════════════
  PID: 93432
2026-02-23 20:44:53 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | QUARANTINE write done (12125 rows) in 1.21s
2026-02-23 20:44:53 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | GOLDEN zone: starting DB upsert for 479856 rows
2026-02-23 20:44:56 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | Built 479856 upsert records in 2.35s
2026-02-23 20:44:56 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | Executing 5332 batches of up to 90 rows each
2026-02-23 20:45:37 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | DB upsert committed 479856 rows in 41.22s
2026-02-23 20:45:37 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | Total load_to_database time: 43.58s
2026-02-23 20:45:37 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | GOLDEN zone: DB upsert completed in 43.80s
2026-02-23 20:45:37 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | Pipeline completed in 47.00s
2026-02-23 20:45:37 | INFO     | N/A                                  | uvicorn.access | 127.0.0.1:63849 - "POST /expense HTTP/1.1" 200
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | Pipeline started — Read 14 rows from fx_rate.csv
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | BRONZE write + preprocess done in 0.00s
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service |   FX rate orphan rows: 0
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service |   FX rate clean rows:  14
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | Cleanse — clean: 14, orphan: 0
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | SILVER write done in 0.00s
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | QUARANTINE write done (0 rows) in 0.00s
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | GOLDEN zone: starting DB upsert for 14 rows
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | Built 14 upsert records in 0.00s
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | Executing 1 batches of up to 249 rows each
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | DB upsert committed 14 rows in 0.00s
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | Total load_to_database time: 0.00s
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | GOLDEN zone: DB upsert completed in 0.00s
2026-02-23 20:45:38 | INFO     | 9536bd44-0529-4fc3-93b1-1ad66b9908eb | backend.app.services.fx_rate_service | Pipeline completed in 0.01s
2026-02-23 20:45:38 | INFO     | N/A                                  | uvicorn.access | 127.0.0.1:63853 - "POST /fx_rate HTTP/1.1" 200
2026-02-23 20:45:43 | INFO     | N/A                                  | backend.app.services.financial_service |   Metrics computed for 478302 / 480740 rows
2026-02-23 20:46:30 | INFO     | N/A                                  | uvicorn.access | 127.0.0.1:63855 - "POST /financials/calculate HTTP/1.1" 200
2026-02-23 20:46:30 | INFO     | N/A                                  | backend.app.controllers.data_master | Retrieved 20000 company records - company_id: None, name: None, industry: None, country: None
